# r Si-Si Si-Ge Ge-Ge
1.430000000000005489e+00 5.080102494749175190e-02 4.928481864481021879e-01 0.000000000000000000e+00
1.449999999999993294e+00 4.940930430716514860e-02 6.381625634513899969e-01 7.028198690038518770e-02
1.470000000000007967e+00 3.112056056524992523e-02 6.418525791635211197e-01 4.865939471165791480e-02
1.490000000000005320e+00 5.979659725187762981e-02 6.435456361889442256e-01 9.105241680683644201e-02
1.509999999999994680e+00 6.949086938519323520e-02 6.242503565897248308e-01 9.494511009422548775e-02
1.529999999999991145e+00 5.425046093865168451e-02 7.801467539949207275e-01 9.145063477260144402e-02
1.550000000000006928e+00 4.270450794991946519e-02 7.438593036432860073e-01 1.228934330499069361e-01
1.569999999999994289e+00 4.143812464427390485e-02 9.795079574019438517e-01 1.266838269520087767e-01
1.589999999999992530e+00 4.088550380079558622e-02 9.143986649204913775e-01 1.231239140265238119e-01
1.610000000000009202e+00 2.465159246596267811e-02 8.346253656404996057e-01 1.524592878899246884e-01
1.629999999999996341e+00 3.857913850116185400e-02 9.328775363101632356e-01 8.010225108447260878e-02
1.649999999999993472e+00 1.136266939132524710e-02 1.049042828424338047e+00 7.561486171838283088e-02
1.670000000000003038e+00 6.305517485462493188e-02 1.055002071630316562e+00 1.245444290706161639e-01
1.689999999999997948e+00 9.194962346215013183e-02 1.087098824197693991e+00 1.891308977307181241e-02
1.709999999999993081e+00 1.329939770136872798e-02 1.236103843341742836e+00 6.798651146974397930e-02
1.730000000000005089e+00 7.161565274734205122e-02 1.107585305504224182e+00 8.819365934971967746e-02
1.750000000000000000e+00 7.679454736151108962e-02 1.214362999961987599e+00 3.073007968099148932e-02
1.769999999999994689e+00 6.419056117339297374e-02 1.626222443285744390e+00 1.217385508259102855e-01
1.790000000000007585e+00 5.405446172780278835e-02 1.381749458563592325e+00 1.421547333602476704e-01
1.810000000000002052e+00 8.557277866618487328e-02 1.480993974582531347e+00 1.264997336101682246e-01
1.829999999999995852e+00 4.145093250357074349e-02 1.452429001318292778e+00 1.186792097909011579e-01
1.850000000000008304e+00 5.064937762654998787e-02 1.460265044075448770e+00 1.176697354575399479e-01
1.870000000000003659e+00 7.330592219971066026e-02 1.531021719967497141e+00 1.408245624805871121e-01
1.889999999999990132e+00 8.657698244910663754e-02 1.618664561539111535e+00 1.565126061245209199e-01
1.910000000000010356e+00 5.461193897083363447e-02 1.802913131419652926e+00 1.291277427796168331e-01
1.930000000000005933e+00 8.208320307578427510e-02 1.995045412510254801e+00 1.363682544055810353e-01
1.949999999999992184e+00 4.418348149208135844e-02 1.875945545616952703e+00 1.616161338423104110e-01
1.970000000000013074e+00 7.273442324555051686e-02 1.831511222474447642e+00 2.040279628767474041e-01
1.990000000000006208e+00 4.373532102558252282e-02 2.041501021672276206e+00 1.195401155925244069e-01
2.009999999999993570e+00 5.943164007380649649e-02 2.140718232890356898e+00 1.683460273502599969e-01
2.029999999999986926e+00 1.013505840105400346e-01 2.115541947873843753e+00 9.704497766076378151e-02
2.050000000000006484e+00 7.189665523083578480e-02 2.062569308666792445e+00 1.288414044680991355e-01
2.069999999999995843e+00 8.270797733463851331e-02 1.968581675020371069e+00 2.539288066896298046e-01
2.089999999999990976e+00 6.891546645690574402e-02 2.283376421597797190e+00 1.141143379030278571e-01
2.110000000000010090e+00 8.536985902528354542e-02 2.231599959216509443e+00 1.683014367324949245e-01
2.129999999999996341e+00 1.458068573897407516e-01 2.054549609698657076e+00 4.492615493474434729e-02
2.149999999999989697e+00 7.966699111444568160e-02 2.095800319611510254e+00 1.070120446566556888e-01
2.170000000000001705e+00 1.031543331789148699e-01 2.088096679059418648e+00 1.910189614837598526e-01
2.190000000000003055e+00 1.064541786100908771e-01 2.005909332282138191e+00 1.083440781649278040e-01
2.209999999999995524e+00 1.293982616084146942e-01 2.148100208455185900e+00 1.525337247848028155e-01
2.230000000000007976e+00 1.214313043933842456e-01 2.110542777799945036e+00 1.983234181545717456e-01
2.250000000000000000e+00 1.006835055738063839e-01 2.061339408896626146e+00 1.538138463928189759e-01
2.269999999999992024e+00 1.509374289328495600e-01 1.951657761176870842e+00 1.622945515308109043e-01
2.290000000000003144e+00 1.106181014985756356e-01 2.109230619209114366e+00 1.414904247734000142e-01
2.309999999999994280e+00 1.198184487562698047e-01 1.839777030230897115e+00 2.851483079986907310e-01
2.330000000000001403e+00 1.174499847426909299e-01 1.839221013850840469e+00 1.830668177169280375e-01
2.350000000000011191e+00 1.250808216603910006e-01 1.700974831474235227e+00 1.732838962624493606e-01
2.370000000000003659e+00 2.157862544311013875e-01 1.720003425027901711e+00 2.529537914266171694e-01
2.389999999999989466e+00 2.175525755707582443e-01 1.535293304886237387e+00 2.179665427907880315e-01
2.410000000000003695e+00 1.975830518137113023e-01 5.253541459608740638e+00 1.825553569495793615e-01
2.429999999999995719e+00 1.735974511085076055e-01 1.519774276748677710e+00 1.873037720805412754e-01
2.450000000000001954e+00 2.445385294490537431e-01 1.487367594510879742e+00 3.038454877114957209e-01
2.470000000000015739e+00 1.898920144102193841e-01 1.265583129371681714e+00 2.000394771315873454e-01
2.490000000000006430e+00 2.421991210016868346e-01 1.251429529897802206e+00 1.959486124205736535e-01
2.509999999999993125e+00 2.120244866202624645e-01 1.235614798675806147e+00 3.120911533429595597e-01
2.529999999999983817e+00 1.995706366778822183e-01 1.167041015810527549e+00 2.096516650175062058e-01
2.549999999999996270e+00 2.890572834478115083e-01 1.168405123859519890e+00 2.701049270278600978e-01
2.570000000000006501e+00 3.153431341470860350e-01 1.096435821587332216e+00 2.573785532384764707e-01
2.589999999999998526e+00 3.189684717417871074e-01 1.020307067483485541e+00 2.546960494470360548e-01
2.610000000000010978e+00 3.556847092800751731e-01 9.914302202227851524e-01 2.251052509732802687e-01
2.629999999999996341e+00 3.638095482359057220e-01 9.428247610133121404e-01 2.587036684337284953e-01
2.649999999999987477e+00 3.110133788094281981e-01 9.408545652777595691e-01 2.753186700521002561e-01
2.669999999999993712e+00 4.353693116128104501e-01 8.330274876798478001e-01 2.962633278792594083e-01
2.690000000000012381e+00 4.335785086441855118e-01 8.180166721862466295e-01 2.886147180934468537e-01
2.710000000000003073e+00 4.468678278215607591e-01 7.798415324216244615e-01 2.899428889745677695e-01
2.730000000000009752e+00 4.420655166849894457e-01 8.108271083037605909e-01 2.233090835749950431e-01
2.750000000000000000e+00 4.641732345351802236e-01 8.163692545633118858e-01 3.243610694952627771e-01
2.769999999999990248e+00 5.063229599702800954e-01 7.683186842149005713e-01 3.197981554027138906e-01
2.789999999999996039e+00 6.090219670080342373e-01 6.766029790130557720e-01 3.766233654345410020e-01
2.809999999999985842e+00 5.512321417227760145e-01 7.286383194189779422e-01 4.534205631878594489e-01
2.830000000000008509e+00 5.879229872131048751e-01 7.158654190843743992e-01 4.453370417309479024e-01
2.850000000000013411e+00 6.057069566874326849e-01 6.101768224226571391e-01 4.495457888186202844e-01
2.870000000000003659e+00 6.044811207790388163e-01 7.004641148273215157e-01 5.223714357620807824e-01
2.889999999999989022e+00 7.204269359432448061e-01 5.902094362380039261e-01 5.678850591823050298e-01
2.909999999999997478e+00 7.797746884630165631e-01 5.902957052795255732e-01 4.741575364005668480e-01
2.929999999999988169e+00 8.206231515783762864e-01 6.124462338525583638e-01 6.510590298631424577e-01
2.950000000000009059e+00 8.102438266164601055e-01 5.675098119475322500e-01 4.914281971950007488e-01
2.970000000000017515e+00 8.520821394804934945e-01 6.082041130947308805e-01 5.674863289802652977e-01
